ts,event_type,payload_json
2026-05-10T02:17:01.405200+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-c9d6915652"", ""status"": ""FILLED"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 100043.20694, ""fee_usdt"": 0.005, ""slippage_pct"": 0.0432, ""created_at"": ""2026-05-10T02:17:01.405160+00:00""}"
2026-05-10T02:17:03.188867+00:00,ORDER_REJECTED_BY_RISK,"{""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}, ""reasons"": [""quote: 지연 99.00s > 5.00s""]}"
2026-05-10T02:17:03.189926+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-a8ce5b7bd1"", ""status"": ""FILLED"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 1.000529, ""fee_usdt"": 0.005, ""slippage_pct"": 0.0529, ""created_at"": ""2026-05-10T02:17:03.189893+00:00""}"
2026-05-10T02:17:03.190861+00:00,ORDER_QUEUED_FOR_APPROVAL,"{""approval_id"": ""ca42d0f8-d785-4c31-8364-911763eb7887"", ""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}}"
2026-05-10T02:25:28.178964+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-ca6419e41f"", ""status"": ""FILLED"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 100057.782906, ""fee_usdt"": 0.005, ""slippage_pct"": 0.0578, ""created_at"": ""2026-05-10T02:25:28.178920+00:00""}"
2026-05-10T02:25:30.089779+00:00,ORDER_REJECTED_BY_RISK,"{""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}, ""reasons"": [""quote: 지연 99.00s > 5.00s""]}"
2026-05-10T02:25:30.090829+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-0057c5ef95"", ""status"": ""FILLED"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 1.000462, ""fee_usdt"": 0.005, ""slippage_pct"": 0.0462, ""created_at"": ""2026-05-10T02:25:30.090791+00:00""}"
2026-05-10T02:25:30.091775+00:00,ORDER_QUEUED_FOR_APPROVAL,"{""approval_id"": ""2d771d9f-9f8b-481d-8a68-739004f80981"", ""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}}"
2026-05-10T02:25:55.995566+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-c37b3f5b37"", ""status"": ""FILLED"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 100053.059677, ""fee_usdt"": 0.005, ""slippage_pct"": 0.0531, ""created_at"": ""2026-05-10T02:25:55.995527+00:00""}"
2026-05-10T02:25:57.739147+00:00,ORDER_REJECTED_BY_RISK,"{""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}, ""reasons"": [""quote: 지연 99.00s > 5.00s""]}"
2026-05-10T02:25:57.740134+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-85a1da2a06"", ""status"": ""FILLED"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 1.00055, ""fee_usdt"": 0.005, ""slippage_pct"": 0.055, ""created_at"": ""2026-05-10T02:25:57.740100+00:00""}"
